Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
1040,2016 Hyundai EON Era Plus,2016,Third Party insurance,Petrol,5,47057,First Owner,Manual,2016,814.0,552.0,552.0,745.0,3.17,0,0.003894348894348894
1041,2019 Hyundai Verna VTVT 1.6 SX,2019,Zero Dep,Petrol,5,123715,First Owner,Manual,2019,17.0,1591.0,1591.0,1213.0,7.7,0,0.45294117647058824
1043,2021 Tata Tiago XT BSVI,2021,Third Party,Petrol,5,36522,First Owner,Manual,2021,19.01,1199.0,1199.0,8482.0,5.44,0,0.2861651762230405
1044,2016 Volkswagen Vento 1.6 Highline,2016,Third Party insurance,Petrol,5,63000,First Owner,Manual,2016,16.09,1598.0,1598.0,1032.0,5.8,0,0.36047234307022996
1045,2018 Volkswagen Polo 1.0 MPI Comfortline,2018,Comprehensive,Petrol,5,23285,First Owner,Manual,2018,17.74,999.0,999.0,7510.0,5.73,0,0.32299887260428417
1046,2021 Hyundai Grand i10 Nios Sportz,2021,Zero Dep,Petrol,5,14596,Second Owner,Manual,2021,20.7,1197.0,1197.0,8186.0,6.41,0,0.3096618357487923
1047,2013 Mercedes-Benz C-Class 220 CDI AT,2013,Comprehensive,Diesel,5,48401,First Owner,Automatic,2013,14.84,2143.0,2143.0,170.0,12.0,0,0.8086253369272237
1048,2021 Maruti Baleno Zeta,2021,Zero Dep,Petrol,5,34377,First Owner,Manual,2021,21.01,1197.0,1197.0,8180.0,7.57,0,0.36030461684911946
1049,2011 Mercedes-Benz M-Class ML 350 CDI,2011,Third Party insurance,Diesel,5,127000,Third Owner,Automatic,2011,11.74,2987.0,2987.0,2548.0,11.0,0,0.9369676320272572
1050,2018 Mercedes-Benz E-Class Exclusive E 220 d BSIV,2018,Comprehensive,Diesel,5,70000,First Owner,Automatic,2018,16.1,1950.0,1950.0,1917.0,39.95,0,2.481366459627329
1052,2017 Ford Ecosport 1.5 Diesel Titanium Plus,2017,Comprehensive,Diesel,5,65000,First Owner,Manual,2017,21.7,1498.0,1498.0,9896.0,7.25,0,0.33410138248847926
1053,2020 Jeep Compass 2.0 Limited Plus,2020,Comprehensive,Diesel,5,80000,First Owner,Manual,2020,17.1,1956.0,1956.0,17063.0,16.5,0,0.9649122807017543
1054,2014 Honda Mobilio S i-DTEC,2014,Comprehensive,Diesel,7,89000,First Owner,Manual,2014,24.2,1498.0,1498.0,986.0,5.5,0,0.2272727272727273
1055,2018 Ford Ecosport 1.5 Diesel Titanium Plus,2018,Comprehensive,Diesel,5,90000,First Owner,Manual,2018,21.7,1498.0,1498.0,9896.0,7.75,0,0.35714285714285715
1056,2017 Volkswagen Vento 1.5 TDI Highline AT,2017,Comprehensive,Diesel,5,109000,First Owner,Automatic,2017,22.15,1498.0,1498.0,1086.0,7.25,0,0.327313769751693
1057,2021 Mahindra XUV300 W8 AMT Optional Diesel BSVI,2021,Zero Dep,Diesel,5,66302,First Owner,Automatic,2021,19.7,1497.0,1497.0,11505.0,11.24,0,0.5705583756345178
1058,2012 Maruti Swift Dzire VXI,2012,Third Party insurance,Petrol,5,79247,First Owner,Manual,2012,22.41,1197.0,1197.0,8850.0,4.1,0,0.1829540383757251
1059,2017 Mini Cooper Clubman Cooper S,2017,Comprehensive,Petrol,5,46000,First Owner,Automatic,2017,13.79,1998.0,1998.0,192.0,33.0,0,2.393038433647571
1060,2017 Maruti Baleno 1.3 Alpha,2018,Third Party,Diesel,5,82051,First Owner,Manual,2017,27.39,1248.0,1248.0,74.0,6.07,1,0.22161372763782403
1061,2021 Maruti Swift ZXI Plus,2021,Third Party insurance,Petrol,5,31655,First Owner,Manual,2021,22.38,1197.0,1197.0,8850.0,7.75,0,0.34629133154602326
1062,2017 Hyundai Grand i10 Sportz,2017,Comprehensive,Petrol,5,16000,First Owner,Manual,2017,18.9,1197.0,1197.0,8186.0,5.75,0,0.30423280423280424
1063,2019 Honda WR-V i-DTEC VX,2019,Zero Dep,Diesel,5,59965,First Owner,Manual,2019,25.5,1498.0,1498.0,986.0,7.61,0,0.29843137254901964
1064,2009 Hyundai i20 Asta,2009,Third Party insurance,Petrol,5,60000,Third Owner,Manual,2009,17.0,1197.0,1197.0,805200.0,1.75,0,0.10294117647058823
1065,2017 Maruti Baleno 1.2 Delta,2017,Zero Dep,Petrol,5,103209,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.02,0,0.23457943925233646
1066,2017 Maruti Baleno 1.2 Delta,2017,Third Party insurance,Petrol,5,29497,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.59,0,0.26121495327102806
1067,2012 Hyundai i10 Magna,2012,Comprehensive,Petrol,5,51000,First Owner,Manual,2012,1197.0,789.0,789.0,1117.0,2.9,0,0.0024227234753550543
1068,2020 Hyundai Grand i10 Nios AMT Sportz,2020,Third Party,Petrol,5,22849,First Owner,Automatic,2020,20.7,1197.0,1197.0,8186.0,6.83,0,0.329951690821256
1069,2018 Hyundai i20 1.4 Asta,2018,Third Party insurance,Diesel,5,66000,First Owner,Manual,2018,22.54,1396.0,1396.0,8873.0,5.75,0,0.25510204081632654
1070,2019 BMW X1 xDrive 20d xLine,2019,Third Party insurance,Diesel,5,43000,First Owner,Automatic,2019,20.68,1995.0,1995.0,190.0,29.5,0,1.4264990328820115
1071,2019 Maruti Vitara Brezza VDi,2019,Comprehensive,Diesel,5,68000,First Owner,Manual,2019,24.3,1248.0,1248.0,885.0,7.5,0,0.30864197530864196
1072,2018 Mercedes-Benz GLC 220d 4MATIC Sport,2018,Comprehensive,Diesel,5,61000,First Owner,Automatic,2018,17.9,2143.0,2143.0,170.0,37.5,0,2.094972067039106
1073,2018 Maruti Ciaz Delta,2018,Comprehensive,Petrol,5,35000,First Owner,Manual,2018,20.65,1462.0,1462.0,10325.0,6.8,0,0.32929782082324455
1074,2019 Maruti Baleno Zeta CVT,2019,Comprehensive,Petrol,5,47000,First Owner,Automatic,2019,19.56,1197.0,1197.0,8180.0,6.75,0,0.3450920245398773
1075,2019 Maruti Vitara Brezza ZDi Plus,2019,Third Party insurance,Diesel,5,54000,First Owner,Manual,2019,24.3,1248.0,1248.0,885.0,8.75,0,0.36008230452674894
1076,2015 Honda City i VTEC CVT SV,2016,Zero Dep,Petrol,5,72000,First Owner,Automatic,2015,18.0,1497.0,1497.0,1173.0,6.15,1,0.3416666666666667
1077,2017 Maruti Alto 800 LXI,2017,Third Party insurance,Petrol,5,62039,First Owner,Manual,2017,796.0,4733.0,4733.0,69.0,3.02,0,0.003793969849246231
1078,2020 Maruti Baleno Zeta,2020,Comprehensive,Petrol,5,23428,First Owner,Manual,2020,21.01,1197.0,1197.0,8180.0,7.14,0,0.33983817229890523
1079,2017 Maruti SX4 S Cross Zeta DDiS 200 SH,2017,Comprehensive,Diesel,5,53000,First Owner,Manual,2017,25.1,1248.0,1248.0,885.0,7.95,0,0.31673306772908366
1080,2012 Honda City V MT,2012,Comprehensive,Petrol,5,47925,First Owner,Manual,2012,16.8,1497.0,1497.0,1163.0,4.53,0,0.26964285714285713
1081,2015 Hyundai Grand i10 Magna,2015,Third Party insurance,Petrol,5,59011,First Owner,Manual,2015,1197.0,82.0,82.0,114.0,4.26,0,0.0035588972431077693
1082,2019 Mahindra Alturas G4 4X2 AT,2019,Comprehensive,Diesel,7,121281,First Owner,Automatic,2019,12.35,2157.0,2157.0,17849.0,17.51,0,1.4178137651821865
1083,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Third Party,Petrol,5,63238,First Owner,Manual,2019,18.9,1197.0,1197.0,8186.0,5.15,0,0.2724867724867725
1084,2014 Honda City i VTEC CVT VX,2014,Third Party insurance,Petrol,5,51376,First Owner,Automatic,2014,18.0,1497.0,1497.0,1173.0,6.0,0,0.3333333333333333
1085,2013 Hyundai i10 Magna 1.1L,2013,Comprehensive,Petrol,5,51196,First Owner,Manual,2013,1086.0,6805.0,6805.0,9904.0,3.19,0,0.0029373848987108656
1086,2018 Hyundai Grand i10 1.2 Kappa Sportz Option AT,2018,Third Party insurance,Petrol,5,35898,Second Owner,Automatic,2018,18.9,1197.0,1197.0,8186.0,5.43,0,0.28730158730158734
1087,2018 BMW 5 Series 520d Sport Line,2018,Comprehensive,Diesel,5,40000,Second Owner,Automatic,2018,22.48,1995.0,1995.0,18774.0,34.5,0,1.5346975088967971
1088,2018 Maruti Ignis 1.2 Delta BSIV,2018,Comprehensive,Petrol,5,19876,First Owner,Manual,2018,20.89,1197.0,1197.0,8180.0,4.92,0,0.23551938726663474
1089,2012 Maruti Swift VDI,2012,Comprehensive,Diesel,5,68000,First Owner,Manual,2012,22.9,1248.0,1248.0,74.0,4.1,0,0.17903930131004367
1090,2016 Honda Amaze S Petrol,2016,Comprehensive,Petrol,5,40451,First Owner,Manual,2016,18.6,1199.0,1199.0,8876.0,5.25,0,0.282258064516129
1091,2014 Honda City i VTEC SV,2014,Third Party insurance,Petrol,5,60000,Second Owner,Manual,2014,17.4,1497.0,1497.0,1173.0,5.55,0,0.31896551724137934
1092,2013 Audi A6 2.0 TDI Premium Plus,2013,Comprehensive,Diesel,5,69000,First Owner,Automatic,2013,17.68,1968.0,1968.0,17433.0,14.5,0,0.8201357466063348
1093,2018 Maruti Baleno Zeta,2018,Comprehensive,Petrol,5,98000,First Owner,Manual,2018,21.01,1197.0,1197.0,8180.0,6.0,0,0.2855782960495002
1095,2019 Honda Jazz VX CVT,2019,Zero Dep,Petrol,5,55000,First Owner,Automatic,2019,18.2,1199.0,1199.0,887.0,7.5,0,0.4120879120879121
1096,2015 Toyota Etios GD,2015,Zero Dep,Diesel,5,104000,First Owner,Manual,2015,23.59,1364.0,1364.0,6705.0,5.25,0,0.22255192878338279
1097,2019 Maruti Alto 800 VXI BSIV,2019,Zero Dep,Petrol,5,57647,First Owner,Manual,2019,24.7,796.0,796.0,473.0,3.52,0,0.1425101214574899
1098,2017 Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,Third Party insurance,Petrol,5,76125,Second Owner,Manual,2017,18.9,1197.0,1197.0,8186.0,4.4,0,0.23280423280423285
1099,2017 Maruti Swift Dzire VDI,2017,Third Party,Diesel,5,94857,First Owner,Manual,2017,28.4,1248.0,1248.0,7402.0,6.06,0,0.21338028169014084
1100,2016 Honda Amaze S i-Vtech,2016,Comprehensive,Petrol,5,51499,First Owner,Manual,2016,18.0,1198.0,1198.0,867.0,4.96,0,0.27555555555555555
1101,2023 Mahindra XUV700 AX5 7 Str Diesel AT,2023,Comprehensive,Diesel,7,22468,First Owner,Automatic,2023,2198.0,18238.0,18238.0,450.0,22.0,0,0.010009099181073703
1102,2016 Maruti Celerio ZXI,2016,Zero Dep,Petrol,5,123186,First Owner,Manual,2016,25.24,998.0,998.0,6571.0,3.68,0,0.1458003169572108
1103,2021 Maruti Wagon R VXI AMT,2021,Comprehensive,Petrol,5,20000,First Owner,Automatic,2021,21.79,998.0,998.0,6705.0,6.1,0,0.2799449288664525
1104,2015 Hyundai i20 Asta 1.2,2016,Zero Dep,Petrol,5,74661,First Owner,Manual,2015,18.6,1197.0,1197.0,8183.0,5.45,1,0.293010752688172
